Kind,Name,SumCyclomatic,AvgEssential,MaxInheritanceTree,PercentLackOfCohesion,CountClassDerived,CountClassCoupled,CountDeclMethod,Essential,CountLineCode
Public Method,org.junit.platform.launcher.listeners.discovery.AbstractLauncherDiscoveryListenerTests.createEngineThatFailsToResolveAnything.(Anon_2).discover,2,,,,,,,1.0,6.0
Public Method,org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener.engineDiscoveryFinished,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener.engineDiscoveryStarted,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener.launcherDiscoveryFinished,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener.launcherDiscoveryStarted,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.CompositeLauncherDiscoveryListener.selectorProcessed,2,,,,,,,1.0,3.0
Public Class,org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners,12,1.0,1.0,0.0,0.0,11.0,6.0,,47.0
Public Method,org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners.LauncherDiscoveryListenerType.valueOf,1,,,,,,,1.0,0.0
Public Method,org.junit.platform.launcher.listeners.discovery.LauncherDiscoveryListeners.LauncherDiscoveryListenerType.values,1,,,,,,,1.0,0.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.engineDiscoveryFinished,6,,,,,,,1.0,14.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.engineDiscoveryStarted,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.equals,3,,,,,,,3.0,9.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.hashCode,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.launcherDiscoveryFinished,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.launcherDiscoveryStarted,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListener.selectorProcessed,9,,,,,,,1.0,21.0
Public Class,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests,5,1.0,2.0,0.0,0.0,14.0,5.0,,81.0
Public Method,org.junit.platform.launcher.listeners.discovery.LoggingLauncherDiscoveryListenerTests.logsErrorOnEngineDiscoveryFailure.(Anon_1).discover,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.session.CompositeLauncherSessionListener.launcherSessionClosed,2,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.listeners.session.CompositeLauncherSessionListener.launcherSessionOpened,2,,,,,,,1.0,3.0
Public Class,org.junit.platform.launcher.listeners.session.CompositeLauncherSessionListenerTests,1,1.0,1.0,0.0,0.0,6.0,1.0,,16.0
Public Class,org.junit.platform.launcher.listeners.session.LauncherSessionListeners,4,2.0,1.0,0.0,0.0,4.0,2.0,,15.0
Public Method,org.junit.platform.launcher.tagexpression.DequeStack.isEmpty,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.DequeStack.peek,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.DequeStack.pop,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.DequeStack.push,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.DequeStack.size,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.Operator.Associativity.valueOf,1,,,,,,,1.0,0.0
Public Method,org.junit.platform.launcher.tagexpression.Operator.Associativity.values,1,,,,,,,1.0,0.0
Private Method,org.junit.platform.launcher.tagexpression.Operator.createMissingOperandMessage,6,,,,,,,4.0,13.0
Private Method,org.junit.platform.launcher.tagexpression.Operator.missingOneOperand,1,,,,,,,1.0,3.0
Public Method,org.junit.platform.launcher.tagexpression.ParseResults.error.(Anon_2).errorMessage,1,,,,,,,1.0,3.0
